customerID,BeginDate,EndDate,Type,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,gender,SeniorCitizen,Partner,Dependents,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,MultipleLines,Churn,EndDate_Calc,Tenure_Days
7590-VHVEG,2020-01-01,No,Month-to-month,Yes,Electronic_check,29.85,29.85,Female,0,Yes,No,DSL,No,Yes,No,No,No,No,No,0,2020-02-01,31
5575-GNVDE,2017-04-01,No,One_year,No,Mailed_check,56.95,1889.5,Male,0,No,No,DSL,Yes,No,Yes,No,No,No,No,0,2020-02-01,1036
3668-QPYBK,2019-10-01,2019-12-01 00:00:00,Month-to-month,Yes,Mailed_check,53.85,108.15,Male,0,No,No,DSL,Yes,Yes,No,No,No,No,No,1,2019-12-01,61
7795-CFOCW,2016-05-01,No,One_year,No,Bank_transfer_(automatic),42.3,1840.75,Male,0,No,No,DSL,Yes,No,Yes,Yes,No,No,No,0,2020-02-01,1371
9237-HQITU,2019-09-01,2019-11-01 00:00:00,Month-to-month,Yes,Electronic_check,70.7,151.65,Female,0,No,No,Fiber_optic,No,No,No,No,No,No,No,1,2019-11-01,61
9305-CDSKC,2019-03-01,2019-11-01 00:00:00,Month-to-month,Yes,Electronic_check,99.65,820.5,Female,0,No,No,Fiber_optic,No,No,Yes,No,Yes,Yes,Yes,1,2019-11-01,245
1452-KIOVK,2018-04-01,No,Month-to-month,Yes,Credit_card_(automatic),89.1,1949.4,Male,0,No,Yes,Fiber_optic,No,Yes,No,No,Yes,No,Yes,0,2020-02-01,671
6713-OKOMC,2019-04-01,No,Month-to-month,No,Mailed_check,29.75,301.9,Female,0,No,No,DSL,Yes,No,No,No,No,No,No,0,2020-02-01,306
7892-POOKP,2017-07-01,2019-11-01 00:00:00,Month-to-month,Yes,Electronic_check,104.8,3046.05,Female,0,Yes,No,Fiber_optic,No,No,Yes,Yes,Yes,Yes,Yes,1,2019-11-01,853
6388-TABGU,2014-12-01,No,One_year,No,Bank_transfer_(automatic),56.15,3487.95,Male,0,No,Yes,DSL,Yes,Yes,No,No,No,No,No,0,2020-02-01,1888
9763-GRSKD,2019-01-01,No,Month-to-month,Yes,Mailed_check,49.95,587.45,Male,0,Yes,Yes,DSL,Yes,No,No,No,No,No,No,0,2020-02-01,396
7469-LKBCI,2018-10-01,No,Two_year,No,Credit_card_(automatic),18.95,326.8,Male,0,No,No,No,No,No,No,No,No,No,No,0,2020-02-01,488
8091-TTVAX,2015-04-01,No,One_year,No,Credit_card_(automatic),100.35,5681.1,Male,0,Yes,No,Fiber_optic,No,No,Yes,No,Yes,Yes,Yes,0,2020-02-01,1767
0280-XJGEX,2015-09-01,2019-10-01 00:00:00,Month-to-month,Yes,Bank_transfer_(automatic),103.7,5036.3,Male,0,No,No,Fiber_optic,No,Yes,Yes,No,Yes,Yes,Yes,1,2019-10-01,1491
5129-JLPIS,2018-01-01,No,Month-to-month,Yes,Electronic_check,105.5,2686.05,Male,0,No,No,Fiber_optic,Yes,No,Yes,Yes,Yes,Yes,No,0,2020-02-01,761
3655-SNQYZ,2014-05-01,No,Two_year,No,Credit_card_(automatic),113.25,7895.15,Female,0,Yes,Yes,Fiber_optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,2020-02-01,2102
8191-XWSZG,2015-10-01,No,One_year,No,Mailed_check,20.65,1022.95,Female,0,No,No,No,No,No,No,No,No,No,No,0,2020-02-01,1584
9959-WOFKT,2014-03-01,No,Two_year,No,Bank_transfer_(automatic),106.7,7382.25,Male,0,No,Yes,Fiber_optic,Yes,No,Yes,No,Yes,Yes,Yes,0,2020-02-01,2163
4190-MFLUW,2019-01-01,2019-11-01 00:00:00,Month-to-month,No,Credit_card_(automatic),55.2,528.35,Female,0,Yes,Yes,DSL,No,No,Yes,Yes,No,No,No,1,2019-11-01,304
4183-MYFRB,2018-05-01,No,Month-to-month,Yes,Electronic_check,90.05,1862.9,Female,0,No,No,Fiber_optic,No,Yes,Yes,No,No,Yes,No,0,2020-02-01,641
8779-QRDMV,2019-11-01,2019-12-01 00:00:00,Month-to-month,Yes,Electronic_check,39.65,39.65,Male,1,No,No,DSL,No,No,Yes,No,No,Yes,No,1,2019-12-01,30
1680-VDCWW,2019-02-01,No,One_year,No,Bank_transfer_(automatic),19.8,202.25,Male,0,Yes,No,No,No,No,No,No,No,No,No,0,2020-02-01,365
1066-JKSGK,2019-11-01,2019-12-01 00:00:00,Month-to-month,No,Mailed_check,20.15,20.15,Male,0,No,No,No,No,No,No,No,No,No,No,1,2019-12-01,30
3638-WEABW,2015-04-01,No,Two_year,Yes,Credit_card_(automatic),59.9,3505.1,Female,0,Yes,No,DSL,No,Yes,No,Yes,No,No,Yes,0,2020-02-01,1767
